name,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26
tarn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,5,1,0,2,2,0,1,3,0,0,1,0,2,0,6,0,0,0,4,1,1,0,0,0,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
tarn_et_garonne,0,0,0,0,0,0,0,0,0,3,1,0,0,4,3,3,1,2,2,0,2,3,2,3,0,1,0,2,0,21,3,0,0,0,0,3,0,2,0,0,0,0,1,1,2,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
var,0,0,0,0,1,0,0,0,4,4,11,3,0,23,19,18,25,18,2,0,23,22,16,20,25,0,0,26,17,32,13,9,1,1,0,17,11,10,12,2,0,4,5,5,7,0,1,0,3,1,5,1,0,0,0,4,12,4,5,1,0,0,2,2,0,5,1,0,0,2,7,1,0,2,0,0,4,1
vaucluse,0,0,0,0,0,0,1,0,0,2,6,1,1,7,15,6,6,16,1,2,13,12,14,4,7,0,0,6,4,8,3,31,0,0,0,5,7,10,4,0,0,2,0,1,3,0,0,0,1,0,2,0,0,2,0,1,1,3,0,0,0,0,2,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1
vendee,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vienne,0,0,0,0,0,0,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,2,2,0,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
haute_vienne,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,2,3,5,0,0,3,3,0,3,1,0,1,1,4,2,2,5,2,0,0,2,0,1,2,0,0,1,6,1,2,0,1,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vosges,0,0,0,0,0,0,0,1,0,4,2,2,0,8,27,15,22,19,6,0,31,22,28,29,20,3,1,31,25,17,10,11,1,0,0,12,9,8,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,7,2,1,0,0,0,0,0,4,4,1,0,0,1,3,4,0,1,0,0,2,0
yonne,0,0,0,0,0,0,0,0,3,2,1,2,0,7,1,0,0,1,1,0,0,3,0,0,4,0,0,0,5,1,2,0,2,0,0,3,4,2,4,0,0,3,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
territoire_de_belfort,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6,11,4,3,0,0,4,7,8,6,6,0,0,5,7,9,4,5,0,0,0,2,2,1,1,0,0,2,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
essonne,0,1,0,7,6,7,13,15,24,39,41,23,22,72,52,43,72,77,50,45,81,66,41,54,98,28,3,59,78,101,103,178,14,5,17,61,41,92,58,3,1,83,64,79,35,49,1,1,12,36,37,24,0,0,1,18,6,7,14,1,0,1,10,15,11,15,11,1,2,2,15,3,0,8,0,2,8,3
hauts_de_seine,2,1,4,6,6,4,15,21,22,30,62,17,17,113,115,129,140,140,30,24,139,149,115,131,124,35,30,96,95,102,95,112,13,2,4,93,83,77,43,9,1,22,21,17,17,23,1,0,21,3,9,8,0,3,1,6,3,0,4,2,1,0,13,12,9,10,4,1,0,5,6,5,0,8,0,0,0,2
seine_saint_denis,0,1,0,2,1,3,17,11,35,23,55,27,26,95,71,72,87,110,65,23,119,92,98,133,128,32,17,96,81,73,109,123,24,7,7,79,77,68,82,10,5,56,82,37,25,24,5,0,7,8,8,11,0,3,0,7,4,5,3,0,2,6,4,7,5,3,1,3,0,4,3,1,1,4,1,0,2,2
val_de_marne,0,0,0,0,0,2,1,3,5,14,15,12,5,38,31,61,78,74,20,13,81,94,69,86,98,17,18,87,61,95,90,101,9,5,6,56,62,40,58,8,0,17,38,32,40,29,2,0,13,15,11,15,1,1,0,2,4,10,8,0,1,0,11,6,5,4,8,1,1,13,9,3,0,3,0,1,0,0
val_d'oise,1,6,12,20,18,14,52,38,51,54,84,38,52,97,93,74,92,69,36,19,102,79,43,57,46,6,9,47,48,45,32,53,13,3,25,41,34,36,30,8,6,24,28,14,9,14,2,0,12,5,4,6,0,3,0,6,8,6,5,0,2,0,6,9,7,1,5,0,0,5,1,0,0,0,1,0,0,3
